Target,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196
1.58,59.068,54.028,59.03711378,24,0,0.21379018,-0.369920588,0.369920588,0.21379018,9.222222222,-0.333333333,9.222222222,0.333333333,2.803039488,29.01955001,3.577350269,2.48559856,2.48559856,1.732050808,0.99279928,0.99279928,0.61065041,0.61065041,0,0,0,0,-0.53,3.245112498,3.47,0.8748583,1.156009256,24.60560594,5.733667477,0,0,5.907179729,0,0,4.794537184,0,0,0,0,0,6.9237372,0,4.794537184,5.907179729,0,0,5.733667477,6.9237372,0,0,0,0,5.733667477,0,0,0,5.907179729,4.794537184,0,6.9237372,0,0,0,0,43.09,0,4.794537184,0,5.907179729,0,0,6.9237372,0,0,5.733667477,0,0,0,0,0,0,0,0,0,0,14.66666667,0.5,4,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,-0.5084,14.8684,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.34,46.073,40.025,46.05309819,20,0,-0.001724682,-0.271721759,0.271721759,0.001724682,4.597222222,1.652777778,4.597222222,1.652777778,1.632993162,2.754887502,2.707106781,2.077350269,2.077350269,1.414213562,0.788675135,0.788675135,0.288675135,0.288675135,0,0,0,0,-0.08,2.754887502,2.92,1.92,1.92,19.59913993,0,0,0,0,0,0,11.26846167,0,0,0,0,7.047671983,0,0,0,0,0,5.425791397,5.84267027,0,7.047671983,0,0,0,11.26846167,0,0,0,7.047671983,0,0,0,0,0,0,0,38.05,0,0,0,0,0,0,0,7.047671983,0,11.26846167,0,0,0,0,0,0,0,0,0,0,8.5,1,3,3,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,-0.9205,13.2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.22,60.052,56.02,60.02112937,24,0,0.299684553,-0.481433475,0.481433475,0.299684553,9,-0.833333333,9,0.833333333,2.803039488,27.01955001,3.577350269,2.355461886,2.355461886,1.732050808,0.927730943,0.927730943,0.519018036,0.519018036,0,0,0,0,-0.53,3.245112498,3.47,0.8748583,1.156009256,24.05994899,5.106527395,0,0,0,5.969305288,0,4.794537184,0,0,0,0,0,6.9237372,0,9.901064579,5.969305288,0,0,0,6.9237372,0,0,0,0,0,0,0,0,11.07583268,4.794537184,0,6.9237372,0,0,0,0,37.3,5.969305288,0,0,0,0,6.9237372,0,0,0,0,9.901064579,0,0,0,0,0,0,0,0,0,16.66666667,0.5,4,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0.0909,13.3098,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.15,71.123,62.051,71.07349929,30,0,-0.004844704,-0.316730921,0.316730921,0.004844704,3.222222222,1.25,3.222222222,1.25,2.083333333,15.21928095,3.535533906,3.328427125,3.328427125,2.5,2.207106781,2.207106781,1.457106781,1.457106781,0.957106781,0.957106781,0.625,0.625,-0.04,22.88643539,3.161612903,1.410312175,0.618363684,32.3781084,5.316788604,0,0,0,0,0,0,0,0,0,0,25.93115606,0,0,0,0,0,5.316788604,0,12.84164325,13.08951281,0,0,0,5.316788604,0,0,0,13.08951281,0,0,12.84164325,0,0,0,0,12.03,0,0,0,0,0,0,25.93115606,0,0,5.316788604,0,0,0,0,0,0,0,0,0,0,8.5,1,5,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0.3698,22.1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12,76.055,72.023,76.02727737,30,0,0.335390909,-0.34989128,0.34989128,0.335390909,9.229166667,-0.939814815,9.229166667,0.939814815,2.847378923,42.91260938,4.28445705,2.432812155,2.432812155,2.27005561,0.966406078,0.966406078,0.476054169,0.476054169,0.110193269,0.110193269,0,0,-0.77,9.651484454,4.23,1.539597523,3.23,28.53879826,5.733667477,0,0,0,0,6.031114512,5.207253025,10.27463378,0,0,0,0,0,0,10.00179021,6.031114512,0,5.480096598,5.733667477,0,0,0,0,0,11.21376408,4.794537184,0,0,11.23836754,0,0,0,0,0,0,0,75.35,6.031114512,4.794537184,0,0,0,0,5.480096598,0,0,5.733667477,5.207253025,0,0,0,0,0,0,0,0,0,21.16666667,0,5,4,4,0,0,0,0,0,0,2,3,4,0,0,0,0,0,-0.9561,14.5056,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.12,92.094,84.03,92.04734412,38,0,0.100047026,-0.393593316,0.393593316,0.100047026,8.166666667,-0.953703704,8.166666667,0.364583333,2.754184786,25.21928095,4.991563832,3.333204618,3.333204618,2.808060412,1.707151003,1.707151003,1.018971878,1.018971878,0.421498206,0.421498206,0.057735027,0.057735027,-0.12,19.80026906,5.88,3.084918033,2.137731959,35.85183651,15.31958218,6.103966388,0,0,0,0,0,0,0,0,0,0,0,13.21376393,15.31958218,0,0,0,0,6.103966388,13.21376393,0,0,0,0,0,0,0,34.6373125,0,0,0,0,0,0,0,60.69,6.103966388,0,0,13.21376393,0,0,0,0,0,0,15.31958218,0,0,0,0,0,0,0,0,0,22.33333333,1,6,3,3,0,0,0,0,0,0,3,3,3,2,0,0,0,0,-1.6681,20.1784,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11,87.122,78.05,87.06841391,36,0,0.218425131,-0.349064265,0.349064265,0.218425131,10.06944444,0.092592593,10.06944444,0.092592593,3.257586161,58.56842503,5.154700538,4.355461886,4.355461886,2.64273441,1.822158134,1.822158134,1.413445227,1.413445227,0.629787781,0.629787781,0,0,-0.53,13.60964047,5.47,1.798837034,1.758184438,37.75543314,4.899909731,0,0,5.907179729,0,0,4.794537184,0,0,0,0,0,21.01908117,0,4.794537184,5.907179729,0,4.899909731,0,6.9237372,14.09534397,0,0,0,0,0,0,0,24.90243343,4.794537184,0,6.9237372,0,0,0,0,20.31,0,4.794537184,0,5.907179729,0,0,11.82364693,14.09534397,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0.75,6,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0.0945,24.368,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,80.09,76.058,80.03744813,30,0,0.049568626,-0.159175832,0.159175832,0.049568626,3.534722222,1.638888889,3.534722222,1.638888889,3,77.47078006,4.242640687,3.203828268,3.203828268,3,1.716397779,1.716397779,0.913982684,0.913982684,0.483243704,0.483243704,0.253340871,0.253340871,-0.92,34.39946188,3.276850394,1.49980284,0.516356873,35.83915265,0,0,0,0,0,0,0,0,10.19736362,0,0,12.13273414,12.39368714,0,0,0,0,10.19736362,0,0,0,24.52642128,0,0,0,0,0,0,10.19736362,0,0,0,24.52642128,0,0,0,25.78,0,0,0,0,0,0,0,12.39368714,12.13273414,10.19736362,0,0,0,0,0,0,0,0,0,0,14,0,6,0,2,0,0,0,0,1,1,2,0,2,0,0,0,0,1,0.4766,22.032,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,80.09,76.058,80.03744813,30,0,0.114757412,-0.24483191,0.24483191,0.114757412,3.673611111,1.5,3.673611111,1.5,3,77.47078006,4.242640687,3.203828268,3.203828268,3,1.699462226,1.699462226,0.904204938,0.904204938,0.47759852,0.47759852,0.253340871,0.253340871,-0.92,34.39946188,3.276850394,1.49980284,0.516356873,35.87069908,0,6.327320075,0,0,0,0,0,9.967957042,0,0,0,6.066367068,12.39368714,0,0,0,0,9.967957042,0,0,0,24.78737429,0,0,0,0,0,0,9.967957042,0,0,0,24.78737429,0,0,0,25.78,0,0,0,0,0,0,6.327320075,18.46005421,0,9.967957042,0,0,0,0,0,0,0,0,0,0,14,0,6,0,2,0,0,0,0,1,1,2,0,2,0,0,0,0,1,0.4766,22.032,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.09,182.172,168.06,182.0790382,74,0,0.110578607,-0.393579135,0.393579135,0.110578607,8.95662037,-1.669305556,8.95662037,0.725818216,3.985164451,104.6059378,9.723614639,6.406896212,6.406896212,5.54011122,3.481747672,3.481747672,2.481028635,2.481028635,1.512478162,1.512478162,0.671208827,0.671208827,-0.24,358.7532296,11.76,5.41346133,3.015404674,69.32936411,30.63916437,24.41586555,0,0,0,0,0,0,0,0,0,0,0,13.21376393,30.63916437,0,0,0,0,24.41586555,13.21376393,0,0,0,0,0,0,0,68.26879385,0,0,0,0,0,0,0,121.38,37.62962948,0,0,0,0,0,0,0,0,0,30.63916437,0,0,0,0,0,0,0,0,0,44.33333333,1,12,6,6,0,0,0,0,0,0,6,6,6,5,0,0,0,0,-3.5854,38.1988,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
